Rajesh Kumar,rajesh_1,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Outstanding build and metal finish,"This is one of the best budget smartphones from Samsung. The metal unibody feels premium in hand, display is crisp and vibrant, and call quality is super clear.",18,20,14-Oct-16
Sneha Roy,sneha_2,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Great battery backup and sleek look,Battery easily lasts a full working day with heavy whatsapp and social media usage. Fast fingerprint sensor on the front. Camera takes crisp daylight photos.,12,14,18-Oct-16
Amit Sharma,amit_3,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,4,Decent daily driver,Good display and solid build quality. UI is snappy for routine tasks like browsing and YouTube. Sound quality through headphones is very good.,9,10,20-Oct-16
Pooja Nair,pooja_4,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Value for money phone,Samsung brand reliability with premium metallic design. Front selfie camera with flash is great for night shots. Very satisfied with delivery and phone.,14,15,25-Oct-16
Vikram Singh,vikram_5,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,4,Good performance,3GB RAM handles normal multitasking smoothly. Fingerprint scanner works 9 out of 10 times. Screen glass is tough and clear.,7,8,28-Oct-16
Karan Mehta,karan_6,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,2,Poor low light camera,Rear camera struggles terribly in indoor lighting and evening shots. Photos look noisy and soft. Expected better sensor from Samsung.,15,18,02-Nov-16
Deepak Verma,deepak_7,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,2,Disappointed with indoor photography,"Camera quality is below average in low light conditions. Outdoor shots are fine, but inside the house pictures are grainy and lack details.",11,13,05-Nov-16
Simran Kaur,simran_8,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,4,Camera is good enough,Photos in daylight are crisp and colors look natural. Indoor photos are okay if you turn on the flash.,6,7,08-Nov-16
Rohan Patel,rohan_9,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,2,Camera is blurry in room light,Night photos are very blurry and grainy. Autofocus takes too long in dimly lit rooms.,8,10,11-Nov-16
Manoj Tiwari,manoj_10,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,1,Dangerous overheating while charging,Device has extreme overheating issue during charging. Back panel becomes scalding hot to touch within 20 minutes of plug-in. Worried about battery hazard.,34,38,15-Nov-16
Sunil Joshi,sunil_11,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,1,Phone gets abnormally hot,Serious heating problem while charging with original adapter. Phone heats up to an unbearable temperature near the camera module and shuts down automatically.,29,32,20-Nov-16
Arjun Das,arjun_12,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,1,Heating issue and battery drain,Overheating during basic charging is alarming. The metal frame burned my hand slightly when picking it up from the charger. Service center was unhelpful.,25,27,24-Nov-16
Naveen 46,user_13,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Nice daily driver,Fingerprint is reliable and UI is clean. Happy with this purchase.,10,17,24-Dec-16
Kunal 82,user_14,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,3,Camera quality is weak,Low light photography is quite disappointing for this price range.,11,18,18-Dec-16
Naveen 68,user_15,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,4,Super display,Fingerprint is reliable and UI is clean. Happy with this purchase.,5,19,18-Dec-16
Divya 79,user_16,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,2,Camera quality is weak,Night shots lack sharpness. Flash helps but details are lost.,10,15,28-Dec-16
Megha 97,user_17,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Super display,Samsung quality is evident. Good network reception and speaker volume.,0,10,28-Dec-16
Shreya 59,user_18,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,3,Camera quality is weak,Low light photography is quite disappointing for this price range.,9,15,10-Dec-16
Naveen 25,user_19,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,3,Camera quality is weak,Camera takes grainy pictures indoors. Daytime photos are fine though.,13,3,24-Dec-16
Shreya 84,user_20,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Super display,Samsung quality is evident. Good network reception and speaker volume.,5,10,17-Dec-16
Shreya 30,user_21,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Loved the metal body,Fingerprint is reliable and UI is clean. Happy with this purchase.,5,8,18-Dec-16
Kavita 53,user_22,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,3,Average phone,Average battery life and normal performance. Nothing extraordinary but works for calls and browsing.,11,11,20-Dec-16
Tarun 93,user_23,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Super display,Screen brightness is adequate outdoors and sound is loud and clear.,11,13,18-Dec-16
Alok 96,user_24,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Nice daily driver,Display is clear and battery easily lasts all day. Solid metal frame.,9,7,21-Dec-16
Harish 82,user_25,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,2,Camera quality is weak,Night shots lack sharpness. Flash helps but details are lost.,2,1,24-Dec-16
Ankit 85,user_26,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,4,Super display,Screen brightness is adequate outdoors and sound is loud and clear.,4,2,17-Dec-16
Divya 27,user_27,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,2,Camera quality is weak,Night shots lack sharpness. Flash helps but details are lost.,3,4,27-Dec-16
Alok 11,user_28,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Fast delivery,Screen brightness is adequate outdoors and sound is loud and clear.,10,20,18-Dec-16
Bhavna 25,user_29,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Great phone,Samsung quality is evident. Good network reception and speaker volume.,5,11,19-Dec-16
Priya 58,user_30,"Samsung Galaxy J7 Prime (Black, 16 GB)",MOBEZF53HHFV6S8R,5,Loved the metal body,Display is clear and battery easily lasts all day. Solid metal frame.,10,19,9-Dec-16
